,Unnamed: 0,RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,EB
0,0,1,15634602,Hargrave,1,0,0,2,2,0,1,1,1,1,1,0.0
1,1,2,15647311,Hill,1,1,0,2,1,1,1,0,1,1,0,0.744676904
2,2,3,15619304,Onio,0,0,0,2,8,2,3,1,0,1,1,1.401374527
3,3,4,15701354,Boni,1,0,0,1,1,0,2,0,0,1,0,0.0
4,4,5,15737888,Mitchell,2,1,0,2,2,2,1,1,1,1,0,1.587055046
5,5,6,15574012,Chu,1,1,1,2,8,2,2,1,0,2,1,0.759603894
6,6,7,15592531,Bartlett,2,0,1,2,7,0,2,1,1,0,0,0.0
7,7,8,15656148,Obinna,0,2,0,1,4,2,4,1,0,1,1,0.963969397
8,8,9,15792365,He,0,0,1,2,4,2,2,0,1,1,0,1.895518044
9,9,10,15592389,H?,1,0,1,1,2,2,1,1,1,1,0,1.876647055
10,10,11,15767821,Bearce,0,0,1,1,6,2,2,0,0,1,0,1.272328448
11,11,12,15737173,Andrews,0,1,1,1,3,0,2,1,0,1,0,0.0
12,12,13,15632264,Kay,0,0,0,1,10,0,2,1,0,0,0,0.0
13,13,14,15691483,Chin,0,0,0,1,5,0,2,0,0,2,0,0.0
14,14,15,15600882,Scott,1,1,0,1,7,0,2,1,1,1,0,0.0
15,15,16,15643966,Goforth,1,2,1,2,3,2,2,0,1,1,0,2.225019533
16,16,17,15737452,Romeo,1,2,1,2,1,2,1,1,0,0,1,26.01244882
17,17,18,15788218,Henderson,0,1,0,1,9,0,2,1,1,0,0,0.0
18,18,19,15661507,Muldrow,1,1,1,2,6,0,1,0,0,2,0,0.0
19,19,20,15568982,Hao,2,0,0,1,6,0,2,1,1,1,0,0.0
20,20,21,15577657,McDonald,2,0,1,2,8,0,2,1,1,2,0,0.0
21,21,22,15597945,Dellucci,1,1,0,1,8,0,2,1,0,1,0,0.0
22,22,23,15699309,Gerasimov,0,1,0,1,4,0,1,1,0,1,1,0.0
23,23,24,15725737,Mosman,1,0,1,2,3,0,2,0,1,0,0,0.0
24,24,25,15625047,Yen,2,0,0,1,5,0,1,1,1,2,0,0.0
25,25,26,15738191,Maclean,0,0,1,1,3,0,2,0,1,1,0,0.0
